"Id","Rank"
"582560423","3"
"584755722","2"
"591598422","3"
"5937815","3"
"59441331","2"
"595030202","2"
"600951281","1"
"601196590","1"
"610388381","3"
"611132639","1"
"611695415","1"
"613114069","3"
"614083020","3"
"616080547","2"
"618192163","1"
"619182801","2"
"622068324","1"
"629204032","2"
"634166007","2"
"638262825","1"
"642790868","3"
"643020469","1"
"64768514","1"
"648946479","1"
"650105445","1"
"654709186","2"
"660064413","2"
"662794238","2"
"66498893","2"
"668694251","1"
"668807991","2"
"669498162","1"
"673981035","2"
"676042425","1"
"678722307","1"
"680084446","2"
"680435840","2"
"681767289","2"
"684001678","2"
"689046295","1"
"691925464","2"
"693916753","3"
"694565356","3"
"695322196","3"
"69756915","3"
"700174588","3"
"700731293","2"
"702344911","1"
"703880502","1"
"716514220","4"
"718655871","3"
"721979420","2"
"723555984","1"
"727016042","2"
"72813857","3"
"73124626","2"
"733051481","2"
"733633909","2"
"734113942","3"
"747932968","3"
"760386485","3"
"760748427","3"
"767307482","2"
"776416789","2"
"781556144","1"
"79021689","2"
"791591321","2"
"793159136","2"
"793997284","3"
"794609585","1"
"795587480","2"
"796617943","2"
"799321059","1"
"802446957","3"
"804061912","2"
"807400322","1"
"808168439","2"
"808281458","2"
"810318708","2"
"814535789","2"
"816527452","3"
"816933233","3"
"821110444","3"
"823882081","3"
"825500885","2"
"826263144","4"
"82662962","4"
"830032669","3"
"83103702","1"
"838763506","2"
"839808334","1"
"840145957","1"
"843701971","2"
"852869849","2"
"853039661","3"
"853644510","2"
"858224442","2"
"859213578","3"
"859886301","1"
"860495865","2"
"863834045","2"
"867542797","2"
"868152518","2"
"868839707","2"
"871678139","2"
"871932350","3"
"874285279","2"
"878526535","1"
"881199169","1"
"891507608","1"
"89847633","3"
"898735429","2"
"901039597","2"
"901582032","2"
"901950790","1"
"902369944","1"
"903438966","3"
"90507470","2"
"911275131","2"
"912618073","3"
"913695354","1"
"914550516","2"
"915122082","1"
"916299792","1"
"916435071","1"
"918672465","3"
"925489297","4"
"92840915","3"
"928549309","1"
"935459903","5"
"93704636","1"
"938839200","2"
"948297216","3"
"950686693","2"
"952988968","1"
"954803226","2"
"957965964","2"
"958873314","1"
"960367858","2"
"965190294","1"
"965750278","2"
"966264690","2"
"972488833","1"
"974240871","2"
"977280014","2"
"977935909","1"
"978139234","2"
"981282384","3"
"985145874","1"
"985552825","3"
"98684710","2"
"989307116","3"
"994906983","2"
"996758038","2"
