"Id","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"315927704","Carya pallida","Sand Hickory","1.4289999389648437e+002","2","128381","9.4166669845581055e+000","2","238137","0.0000000000000000e+000","0",NULL,"22"
"318558183","Yucca mixteca","Mixteca Yucca","2.0799999237060547e+001","2","286955","3.3333332538604736e+000","2","286955","0.0000000000000000e+000","0",NULL,"1"
"32492090","Quercus macrocarpa","Bur Oak","1.1950000000000000e+002","2","17333","2.2500000000000000e+001","2","301394","1.0459999847412109e+002","2","301394","24"
"330869936","Tsuga diversfolia","Northern Japanese Hemlock","3.0000000000000000e+001","2","225110","3.0916664600372314e+000","2","225110","0.0000000000000000e+000","0",NULL,"1"
"332205282","Carnegiea gigantea","Saguaro","4.2299999237060547e+001","2","24662","6.7500000000000000e+000","2","159294","0.0000000000000000e+000","0",NULL,"13"
"333084794","Frangula caroliniana","Carolina Buckthorn","2.3299999237060547e+001","2","241682","1.0833333730697632e+000","2","241682","0.0000000000000000e+000","0",NULL,"3"
"336470463","Quercus x comptonae","Compton Oak","6.0500000000000000e+001","2","240481","1.6666666030883789e+001","2","240481","9.3333330154418945e+000","2","240481","1"
"341947596","Juglans nigra","Black Walnut","1.4530000305175781e+002","2","323799","1.8916666030883789e+001","2","249650","1.2169999694824219e+002","2","224533","396"
"346157970","Ulmus carpinifolia","Smoothleaf Elm","4.6799999237060547e+001","2","189032","5.6999998092651367e+000","2","189032","0.0000000000000000e+000","0",NULL,"1"
"352060299","Pterocarya fraxinifolia","Caucasian Wingnut","6.3000000000000000e+001","2","226110","9.1000003814697266e+000","2","226110","0.0000000000000000e+000","0",NULL,"1"
"359166746","Psidium guajava","Guava","2.9299999237060547e+001","2","213145","3.5583333969116211e+000","2","213145","0.0000000000000000e+000","0",NULL,"1"
"35995317","Thuja plicata","Western Redcedar","2.3219999694824219e+002","2","274361","4.0841667175292969e+001","2","239723","0.0000000000000000e+000","0",NULL,"61"
"361934879","Aesculus hippocastanum","Horse Chestnut","1.0030000305175781e+002","2","186250","1.2666666984558105e+001","2","262649","7.0000000000000000e+001","2","203606","13"
"362325468","Aesculus sylvatica","Painted Buckeye","0.0000000000000000e+000","0",NULL,"2.6666667461395264e+000","2","237730","0.0000000000000000e+000","0",NULL,"1"
"363147036","Quercus prinoides","Dwarf Chinkapin Oak","3.3900001525878906e+001","2","226078","3.9000000953674316e+000","2","226078","2.3000000000000000e+001","2","235739","2"
"369358112","Magnolia kobus","Kobus Magnolia","3.2799999237060547e+001","2","226113","2.3099999427795410e+000","2","226113","0.0000000000000000e+000","0",NULL,"1"
"37196435","Notholithocarpus densiflorus","Tanoak","1.4300000000000000e+002","2","268819","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"373535566","Nyssa biflora","Swamp Tupelo","8.7000000000000000e+001","2","242640","1.7199998855590820e+001","2","235973","3.9000000000000000e+001","2","242640","3"
"374727998","Amelanchier arborea","Common Serviceberry","1.0100000000000000e+002","2","313064","8.7500000000000000e+000","2","313065","5.6000000000000000e+001","2","313065","10"
"375316662","Acer buergenlarium","Trident Maple","3.8799999237060547e+001","2","222940","2.6166665554046631e+000","2","222940","0.0000000000000000e+000","0",NULL,"1"
"377471773","Aesculus x mississippiensis","Bush’S Buckeye","3.2299999237060547e+001","2","226122","2.0499999523162842e+000","2","226122","0.0000000000000000e+000","0",NULL,"1"
"377698493","Populus ×","Hybrid Poplar","6.3000000000000000e+001","2","314982","6.7500000000000000e+000","2","314982","4.6000000000000000e+001","2","314982","1"
"379613986","Tilia americana var. americana","American Basswood","1.3889999389648437e+002","2","222035","1.3500000000000000e+001","2","315275","8.3000000000000000e+001","2","313163","96"
"382162788","Abies concolor var. concolor","White Fir","1.0400000000000000e+002","2","317991","5.6100001335144043e+000","2","243132","0.0000000000000000e+000","0",NULL,"5"
"384916787","Fraxinus quadrangulata","Blue Ash","1.3530000305175781e+002","2","297493","1.5333333015441895e+001","2","174112","5.7000000000000000e+001","2","174135","97"
"385925641","Hedyscepe canterburyana","Big Mountain Palm","2.2500000000000000e+001","2","291326","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"388038258","Chilopsis linearis","Desert Willow","3.6099998474121094e+001","2","96530","5.5000000000000000e+000","2","159297","0.0000000000000000e+000","0",NULL,"2"
"388669950","Betula papyrifera var. papyrifera","Paper Birch","9.1099998474121094e+001","2","221365","6.0000000000000000e+000","2","221365","0.0000000000000000e+000","0",NULL,"5"
"390955910","Populus balsamifera ssp. balsamifera","Balsam Poplar","9.1099998474121094e+001","2","74994","5.9416670799255371e+000","2","75010","0.0000000000000000e+000","0",NULL,"6"
"395840853","Pinus aristata","Bristlecone Pine","7.0000000000000000e+000","2","302704","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"396071938","Pinus spp.","Pine","1.2459999847412109e+002","2","243265","8.4166669845581055e+000","2","243316","0.0000000000000000e+000","0",NULL,"4"
"397064312","Picea engelmannii var. engelmannii","Engelmann Spruce","2.2300000000000000e+002","2","274363","1.6850000381469727e+001","2","274363","0.0000000000000000e+000","0",NULL,"34"
"397607153","Syringa pekinensis","Peking Tree Lilac","4.2700000762939453e+001","2","226087","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
