"Id","StateId","ScientificName","CommonName","MaxHeight","MaxHeightInputFormat","MaxHeightTreeId","MaxGirth","MaxGirthInputFormat","MaxGirthTreeId","MaxCrownSpread","MaxCrownSpreadInputFormat","MaxCrownSpreadTreeId","Number"
"1448844987","33","Carya glabra","Pignut Hickory","1.4150000000000000e+002","2","168930","1.1166666984558105e+001","2","166955","9.0000000000000000e+001","2","166955","13"
"1449745655","33","Quercus macrocarpa","Bur Oak","1.1950000000000000e+002","2","17333","1.6590000152587891e+001","2","9631","0.0000000000000000e+000","0",NULL,"3"
"1450795042","64","Populus deltoides ssp. deltoides","Eastern Cottonwood","1.0590000152587891e+002","2","174791","1.3000000000000000e+001","2","175044","0.0000000000000000e+000","0",NULL,"4"
"1451509081","9","Lindera benzoin","Northern Spicebush","0.0000000000000000e+000","0",NULL,"1.0000000000000000e+000","2","234457","0.0000000000000000e+000","0",NULL,"1"
"1452322835","38","Quercus stellata","Post Oak","9.8599998474121094e+001","2","227144","1.5083333015441895e+001","2","237124","0.0000000000000000e+000","0",NULL,"8"
"145261555","6","Quercus rubra","Northern Red Oak","1.0600000000000000e+002","2","256800","1.4083333015441895e+001","2","256800","0.0000000000000000e+000","0",NULL,"1"
"1453670437","47","Quercus robur","English Oak","6.9000000000000000e+001","2","313203","1.0166666984558105e+001","2","313240","8.4000000000000000e+001","2","313203","2"
"1455855973","33","Salix nigra","Black Willow","7.6000000000000000e+001","2","162203","2.0000000000000000e+000","2","162203","0.0000000000000000e+000","0",NULL,"1"
"1456322344","124","Abies pinsapo","Spanish Fir","4.1400001525878906e+001","2","283182","5.8916664123535156e+000","2","283181","0.0000000000000000e+000","0",NULL,"2"
"1457136105","33","Pinus resinosa","Red Pine","8.7500000000000000e+001","2","169295","3.6666667461395264e+000","2","169293","0.0000000000000000e+000","0",NULL,"3"
"1457945222","47","Quercus falcata","Southern Red Oak","7.8699996948242188e+001","2","313114","1.5741665840148926e+001","2","313114","1.0700000000000000e+002","2","313114","4"
"1459354637","4","Cupressus sempervirens","Italian Cypress","1.1140000152587891e+002","2","274979","5.0833334922790527e+000","2","274979","0.0000000000000000e+000","0",NULL,"1"
"1459710619","18","Amelanchier arborea var. arborea","Common Serviceberry","1.9700000762939453e+001","2","280955","8.0000001192092896e-001","2","280955","0.0000000000000000e+000","0",NULL,"1"
"1459804413","20","Pinus resinosa","Red Pine","9.7500000000000000e+001","2","233428","7.0000000000000000e+000","2","233431","0.0000000000000000e+000","0",NULL,"3"
"1460865965","25","Cornus alternifolia","Alternateleaf Dogwood","2.9799999237060547e+001","2","227730","1.6666666269302368e+000","2","227730","0.0000000000000000e+000","0",NULL,"1"
"1460908946","40","Fraxinus americana var. biltmoreana","Biltmore Ash","1.5039999389648437e+002","2","257629","1.3500000000000000e+001","2","321767","0.0000000000000000e+000","0",NULL,"50"
"1461269702","7","Fagus grandifolia","American Beech","1.3819999694824219e+002","2","140148","1.2916666984558105e+001","2","142959","0.0000000000000000e+000","0",NULL,"10"
"1461650834","9","Sideroxylon lanuginosum","Gum Bully","3.0200000762939453e+001","2","234706","1.6666666269302368e+000","2","234706","0.0000000000000000e+000","0",NULL,"2"
"1462538513","21","Abies balsamea","Balsam Fir","8.0699996948242188e+001","2","233308","3.0833332538604736e+000","2","233308","0.0000000000000000e+000","0",NULL,"1"
"1462539362","40","Nyssa aquatica","Water Tupelo","1.0100000000000000e+002","2","322727","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"4"
"1463165765","32","Salix ×sepulcralis","Weeping Willow","7.5599998474121094e+001","2","221050","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"1463175785","32","Abies balsamea","Balsam Fir","1.0390000152587891e+002","2","263831","4.8333334922790527e+000","2","264497","0.0000000000000000e+000","0",NULL,"8"
"1463557577","47","Liquidambar styraciflua","Sweetgum","1.1800000000000000e+002","2","313237","1.3583333015441895e+001","2","313238","9.4000000000000000e+001","2","203679","27"
"1464500136","38","Nyssa sylvatica","Blackgum","1.1369999694824219e+002","2","238625","9.5833330154418945e+000","2","238587","0.0000000000000000e+000","0",NULL,"6"
"1464659424","40","Gymnocladus dioicus","Kentucky Coffeetree","1.3819999694824219e+002","2","320444","1.0300000190734863e+001","2","321884","0.0000000000000000e+000","0",NULL,"20"
"1464683749","47","Elaegnus umbellata","Autumn-Olive","1.7500000000000000e+001","2","312052","2.7500000000000000e+000","2","312052","2.3000000000000000e+001","2","312052","1"
"1465757653","36","Magnolia acuminata","Cucumber-Tree","1.3160000610351562e+002","2","117379","1.8699998855590820e+001","2","132871","8.1000000000000000e+001","2","132871","91"
"1466293411","15","Acer saccharum var. schneckii","Sugar Maple","9.4099998474121094e+001","2","322686","7.7600002288818359e+000","2","322686","0.0000000000000000e+000","0",NULL,"1"
"1466304298","2","Forestiera acuminata","Eastern Swampprivet","5.6000000000000000e+001","2","241819","3.5000000000000000e+000","2","241822","0.0000000000000000e+000","0",NULL,"10"
"1466499841","27","Morus rubra","Red Mulberry","5.3099998474121094e+001","2","220676","5.4166665077209473e+000","2","220676","0.0000000000000000e+000","0",NULL,"1"
"1466851471","40","Acer barbatum","Southern Sugar Maple","1.0900000000000000e+002","2","321868","8.6999998092651367e+000","2","321817","0.0000000000000000e+000","0",NULL,"3"
"1468150675","38","Gleditsia triacanthos","Honeylocust","1.1809999847412109e+002","2","238067","0.0000000000000000e+000","0",NULL,"0.0000000000000000e+000","0",NULL,"1"
"146833742","33","Quercus montana","Chestnut Oak","1.3700000000000000e+002","2","161937","1.3583333015441895e+001","2","302728","0.0000000000000000e+000","0",NULL,"10"
"1469042932","35","Pseudotsuga menziesii var. menziesii","Douglas-Fir","3.2279998779296875e+002","2","269534","4.3000000000000000e+001","2","297896","0.0000000000000000e+000","0",NULL,"19"
"1471123500","32","Pinus edulis","Twoneedle Pinyon","3.0000000000000000e+001","2","229184","3.1099998950958252e+000","2","229184","0.0000000000000000e+000","0",NULL,"1"
